City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sandnessjoen,66.0217,12.6316,290.21,63,74,3.6,NO,1691700563
83,sitka,57.0531,-135.33,289.09,82,100,1.54,US,1691700563
84,saipan,15.1355,145.701,298.54,94,100,3.09,MP,1691700563
85,wailua homesteads,22.0669,-159.378,301.39,76,75,6.69,US,1691700563
86,porto novo,6.4965,2.6036,299.05,87,27,2.99,BJ,1691700563
87,port lincoln,-34.7333,135.8667,282.38,79,5,2.4,AU,1691700452
88,tiksi,71.6872,128.8694,290.12,49,3,2.14,RU,1691700393
89,emerald,-23.5333,148.1667,286.36,85,0,2.01,AU,1691700564
90,whitehorse,60.7161,-135.0538,292.65,50,75,4.02,CA,1691700525
91,zouerate,22.7187,-12.4521,310.62,16,93,4.21,MR,1691700564
92,san rafael,-34.6177,-68.3301,294.08,13,0,4.06,AR,1691700564
93,lingcheng,22.7072,110.3492,298.22,94,100,0.81,CN,1691700564
94,saint-pierre,-21.3393,55.4781,292.97,68,0,3.09,RE,1691700565
95,omdurman,15.6445,32.4777,304.32,53,100,6.05,SD,1691700565
96,luderitz,-26.6481,15.1594,292.68,55,14,0.16,NA,1691700565
97,happy valley-goose bay,53.3168,-60.3315,290.32,63,75,4.63,CA,1691700311
98,edinburgh of the seven seas,-37.0676,-12.3116,285.23,69,28,12.09,SH,1691700403
99,katabu,-4.9333,122.5167,295.58,91,62,2.15,ID,1691700565
100,albany,42.6001,-73.9662,298.51,96,100,0.44,US,1691700335
101,coyhaique,-45.5752,-72.0662,283.12,57,75,2.57,CL,1691700496
102,ust-nera,64.5667,143.2,292.15,47,9,0.61,RU,1691700566
103,afaahiti,-17.75,-149.2833,299.08,69,50,7.76,PF,1691700290
104,ancud,-41.8697,-73.8203,281.19,75,98,8.21,CL,1691700527
105,rey bouba,8.6724,14.1786,295.59,95,99,0.19,CM,1691700567
106,mangrol,21.1167,70.1167,300.1,81,100,6.36,IN,1691700567
107,atbasar,51.8,68.3333,288.22,70,86,4.52,KZ,1691700567
108,puerto baquerizo moreno,-0.9,-89.6,299.7,78,75,7.2,EC,1691700567
109,haiku-pauwela,20.9219,-156.3051,299.4,80,75,6.17,US,1691700567
110,talnakh,69.4865,88.3972,285.49,64,90,6.93,RU,1691700567
111,kattivakkam,13.2167,80.3167,300.41,81,100,4.98,IN,1691700568
112,margaret river,-33.95,115.0667,285.56,75,97,2.31,AU,1691700492
113,duyun,26.2667,107.5167,294.95,97,1,0.92,CN,1691700568
114,jamestown,42.097,-79.2353,299.27,51,40,6.69,US,1691700326
115,lebu,-37.6167,-73.65,283.36,78,48,5.56,CL,1691700568
116,odienne,9.51,-7.5692,294.6,97,95,1.73,CI,1691700569
117,mosopa,-24.7718,25.4216,286.38,52,33,3.29,BW,1691700569
118,hirara,24.8,125.2833,301.07,94,20,1.54,JP,1691700569
119,longyearbyen,78.2186,15.6401,283.06,81,100,1.54,SJ,1691700549
120,ulanhot,46.0833,122.0833,289.43,93,92,3.32,CN,1691700569
121,anadyr,64.75,177.4833,282.43,81,75,5.0,RU,1691700406
122,belyayevka,51.3974,56.4096,293.73,45,0,3.04,RU,1691700570
123,cabo san lucas,22.8909,-109.9124,309.05,74,75,3.09,MX,1691700430
124,kodiak,57.79,-152.4072,285.88,88,100,3.09,US,1691700570
125,loikaw,19.6742,97.2094,291.64,96,100,1.01,MM,1691700570
126,nizhnesortymskiy,62.4397,71.7603,282.6,76,96,8.52,RU,1691700570
127,ljusdal,61.8288,16.0913,284.67,99,100,0.74,SE,1691700364
128,kramfors,62.9316,17.7765,287.04,88,75,2.57,SE,1691700571
129,stephenville,32.2207,-98.2023,315.8,25,0,5.66,US,1691700571
130,cidreira,-30.1811,-50.2056,290.77,97,36,4.1,BR,1691700571
131,mount gambier,-37.8333,140.7667,282.34,92,100,2.6,AU,1691700402
132,deltebre,40.7499,0.7868,299.45,87,23,1.98,ES,1691700571
133,natal,-5.795,-35.2094,298.51,88,40,6.69,BR,1691700572
134,japaratuba,-10.5933,-36.9403,296.75,90,11,3.35,BR,1691700572
135,udachny,66.4167,112.4,289.51,82,84,2.43,RU,1691700572
136,avarua,-21.2078,-159.775,298.18,78,75,7.2,CK,1691700401
137,uttarkashi,30.7333,78.45,296.3,93,93,0.79,IN,1691700572
138,zhigalovo,54.8097,105.1578,286.29,97,93,1.83,RU,1691700573
139,new norfolk,-42.7826,147.0587,283.08,95,100,1.41,AU,1691700573
140,bolkhov,53.4433,36.0044,289.95,70,100,3.78,RU,1691700573
141,yuzhno-kurilsk,44.0306,145.8556,293.3,96,100,5.3,RU,1691700425
142,mount isa,-20.7333,139.5,281.02,87,6,0.0,AU,1691700283
143,serhiyivka,46.0272,30.3768,294.8,55,97,7.24,UA,1691700574
144,wenling,28.3669,121.36,299.09,88,97,0.64,CN,1691700574
145,namibe,-15.1961,12.1522,289.16,89,20,3.79,AO,1691700574
146,tsiombe,-25.3,45.4833,290.18,74,19,4.97,MG,1691700575
147,tokar,18.4254,37.729,306.38,43,2,10.89,SD,1691700575
148,bredasdorp,-34.5322,20.0403,286.45,72,0,0.83,ZA,1691700513
149,nabire,-3.3667,135.4833,297.12,88,85,1.51,ID,1691700575
150,valjevo,44.2751,19.8982,289.15,70,43,1.92,RS,1691700575
151,newala kisimani,-10.95,39.2833,290.25,77,59,2.26,TZ,1691700575
152,shache,38.4167,77.2406,299.66,23,99,4.76,CN,1691700409
153,sorong,-0.8833,131.25,297.58,89,82,5.02,ID,1691700576
154,tot'ma,59.9747,42.7642,291.11,79,6,1.96,RU,1691700576
155,ola,59.5833,151.2833,286.47,71,19,0.75,RU,1691700306
156,port elizabeth,-33.918,25.5701,287.31,94,4,1.03,ZA,1691700326
157,georgetown,5.4112,100.3354,299.11,92,20,1.03,MY,1691700576
158,piacabucu,-10.4056,-36.4344,296.07,88,28,4.45,BR,1691700413
159,bengkulu,-3.8004,102.2655,296.25,94,46,2.06,ID,1691700448
160,saldanha,-33.0117,17.9442,286.18,76,0,2.9,ZA,1691700543
161,hamilton,39.1834,-84.5333,301.81,64,40,6.17,US,1691700539
162,teloloapan,18.35,-99.85,296.39,67,100,1.41,MX,1691700577
163,darchula,29.8412,80.5287,297.19,93,100,0.63,NP,1691700577
164,bataipora,-22.2953,-53.2711,303.64,26,3,2.15,BR,1691700577
165,pijijiapan,15.7011,-93.23,305.05,62,24,3.66,MX,1691700577
166,betare oya,5.6,14.0833,292.92,98,100,1.58,CM,1691700577
167,sultanpur,26.2667,82.0667,300.69,86,98,1.2,IN,1691700578
168,mutoko,-17.397,32.2268,285.33,83,90,3.22,ZW,1691700578
169,vila franca do campo,37.7167,-25.4333,296.38,91,58,1.23,PT,1691700578
170,kenai,60.5544,-151.2583,288.23,93,100,3.09,US,1691700537
171,san julian,21.0167,-102.1667,297.2,50,72,4.43,MX,1691700378
172,holualoa,19.6228,-155.9522,300.06,75,0,4.12,US,1691700578
173,bandarbeyla,9.4942,50.8122,296.89,85,28,12.74,SO,1691700550
174,santa elena de uairen,4.6167,-61.1333,296.81,74,37,2.93,VE,1691700301
175,sahar,24.3643,56.7468,305.16,84,66,6.17,OM,1691700579
176,fale old settlement,-9.3852,-171.2468,300.77,77,90,4.98,TK,1691700579
177,klyuchi,52.2667,79.1667,290.2,92,98,4.85,RU,1691700579
178,hithadhoo,-0.6,73.0833,300.56,79,92,5.02,MV,1691700579
179,polyarnyy,69.1989,33.4478,290.25,73,0,5.2,RU,1691700579
180,kulhudhuffushi,6.6221,73.07,301.14,78,92,7.29,MV,1691700580
181,san luis de la loma,17.2706,-100.8939,303.58,69,100,2.99,MX,1691700580
182,abepura,-2.6333,140.5833,297.6,83,40,0.0,ID,1691700580
183,kencong,-8.2833,113.3667,293.18,92,52,0.97,ID,1691700580
184,lihue,21.9789,-159.3672,301.73,68,75,6.69,US,1691700281
185,moose jaw,50.4001,-105.5344,298.3,44,40,7.72,CA,1691700337
186,jackson,42.4165,-122.8345,306.15,33,0,2.68,US,1691700385
187,kailua-kona,19.6406,-155.9956,302.13,75,0,4.12,US,1691700452
188,worland,44.0169,-107.9554,305.86,29,0,3.09,US,1691700581
189,fortuna,40.5982,-124.1573,294.78,78,100,5.14,US,1691700563
190,miches,18.9836,-69.0476,303.26,73,100,6.1,DO,1691700581
191,cabedelo,-6.9811,-34.8339,299.52,80,8,6.69,BR,1691700522
192,kwang binh,17.4833,106.6,301.71,69,100,3.53,VN,1691700581
193,beipiao,41.7919,120.7792,291.75,82,0,5.89,CN,1691700581
194,glen innes,-29.7333,151.7333,277.21,80,0,0.87,AU,1691700581
195,lubango,-14.9172,13.4925,288.07,67,0,2.06,AO,1691700581
196,ellsworth,44.5434,-68.4195,300.2,69,0,5.66,US,1691700582
197,burang,30.25,81.1667,285.0,83,100,1.75,CN,1691700582
198,angaur state,6.906,134.13,301.17,80,77,8.26,PW,1691700361
199,naze,28.3667,129.4833,296.66,88,100,2.2,JP,1691700582
200,mount pearl,47.5166,-52.7813,294.24,89,75,4.12,CA,1691700582
201,jumla,29.2747,82.1838,290.71,92,100,0.42,NP,1691700582
202,la passe,45.5549,-0.8967,294.28,92,34,3.6,FR,1691700582
203,levuka,50.1834,-105.4011,298.0,44,40,7.72,CA,1691700583
204,iskateley,67.6803,53.1512,283.81,79,7,2.48,RU,1691700410
205,coalinga,36.1397,-120.3602,304.84,37,100,3.99,US,1691700583
206,antalaha,-14.9003,50.2788,292.25,92,10,2.63,MG,1691700583
207,badger,64.8,-147.5333,294.33,88,100,1.54,US,1691700583
208,sinabang,2.4803,96.3801,299.13,84,100,2.18,ID,1691700583
209,kristiansund,63.1115,7.732,285.18,87,100,2.06,NO,1691700583
210,tazovsky,67.4667,78.7,279.47,65,1,9.09,RU,1691700584
211,nova vicosa,-17.8919,-39.3719,295.79,74,77,3.66,BR,1691700294
212,colonia,50.9333,6.95,293.69,73,0,1.03,DE,1691700483
213,alice springs,-23.7,133.8833,278.9,65,0,2.57,AU,1691700584
214,vorgashor,67.5833,63.95,278.67,94,43,3.42,RU,1691700584
215,vilyuchinsk,52.9306,158.4028,283.3,75,65,1.13,RU,1691700584
216,rondonopolis,-16.4708,-54.6356,308.78,15,1,3.03,BR,1691700322
217,aasiaat,68.7098,-52.8699,276.43,87,100,4.18,GL,1691700405
218,suva,-18.1416,178.4415,292.86,100,100,0.0,FJ,1691700303
219,utrik,11.2278,169.8474,300.9,70,13,4.93,MH,1691700585
220,fomboni,-12.28,43.7425,298.13,71,1,6.75,KM,1691700585
221,yelizovo,53.1873,158.3805,283.23,87,0,4.0,RU,1691700585
222,veraval,20.9,70.3667,300.02,82,100,6.03,IN,1691700585
223,mil'kovo,55.6078,37.7956,292.62,72,67,2.53,RU,1691700334
224,santa rosalia,27.3167,-112.2833,305.49,55,0,4.28,MX,1691700585
225,namtsy,62.7161,129.6658,286.98,67,2,1.75,RU,1691700586
226,chonchi,-42.6128,-73.8092,281.71,83,100,3.97,CL,1691700586
227,bilibino,68.0546,166.4372,283.18,79,100,1.78,RU,1691700586
228,aswan,24.0934,32.907,310.76,13,0,4.12,EG,1691700586
229,port alfred,-33.5906,26.891,293.08,58,0,4.75,ZA,1691700518
230,st. john's,47.5649,-52.7093,294.7,89,75,4.12,CA,1691700586
231,bandar abbas,27.1865,56.2808,307.14,62,75,3.09,IR,1691700586
232,lewistown,40.5992,-77.5714,299.37,78,75,0.0,US,1691700586
233,zaozersk,69.4005,32.4476,290.78,67,0,3.76,RU,1691700587
234,uturoa,-16.7333,-151.4333,298.27,67,75,7.57,PF,1691700587
235,hammerfest,70.6634,23.6821,298.4,53,0,4.12,NO,1691700587
236,sabana de torres,7.3915,-73.4957,306.49,62,82,1.32,CO,1691700587
237,la mira,18.035,-102.3266,304.62,62,72,3.35,MX,1691700587
238,mokhotlong,-29.2894,29.0675,278.24,52,0,1.86,LS,1691700587
239,aras-asan,8.8908,126.3033,298.29,88,91,2.46,PH,1691700587
